"_id","name","agency","category","compartments","relatedItemsParents","relatedItemsChildren","relatedItems","family","status","links","description"
"QTQ8RTsjbhrpCzfE5","BULLRUN","NSA","program","[[TOP SECRET]],[[SI]],[[REL TO USA]],[[FVEY]]","[[NSA]]","[[APERIODIC]],[[AMBULANT]],[[AUNTIE]],[[PAINTEDEAGLE]],[[PAWLEYS]],[[PITCHFORD]],[[PENDLETON]],[[PICARESQUE]],[[PIEDMONT]]","[[APERIODIC]],[[AMBULANT]],[[AUNTIE]],[[PAINTEDEAGLE]],[[PAWLEYS]],[[PITCHFORD]],[[PENDLETON]],[[PICARESQUE]],[[PIEDMONT]]","process","unknown","http://cryptome.org/2013/09/nsa-bullrun-brief-propublica-13-0905.pdf,cryptome.org - BULLRUN's briefing sheet,https://en.wikipedia.org/wiki/Bullrun_%28decryption_program%29,en.wikipedia.org - Bullrun (decryption program),http://www.nytimes.com/interactive/2013/09/05/us/documents-reveal-nsa-campaign-against-encryption.html?_r=0,New York Times: Secret Documents Reveal N.S.A. Campaign Against Encryption,http://www.theguardian.com/world/interactive/2013/sep/05/nsa-project-bullrun-classification-guide,The Guardian : Project Bullrun %u2013 classification guide to the NSA's decryption program,http://cryptome.org/2013/09/nsa-bullrun-2-16-guardian-13-0905.pdf,cryptome.org - guardian","BULLRUN is a clandestine, highly classified decryption program run by the NSA. The British signals intelligence agency Government Communications Headquarters (GCHQ) has a similar program codenamed [[EDGEHILL]]. Access to the program is limited to a group of top personnel at the Five Eyes (FVEY), NSA and the signals intelligence agencies of Britain, Canada, Australia, and New Zealand. Signals that cannot be decrypted with current technology may be retained indefinitely while the agencies continue to attempt to decrypt them: ""Documents show that the N.S.A. has been waging a war against encryption using a battery of methods that include working with industry to weaken encryption standards, making design changes to cryptographic software, and pushing international encryption standards it knows it can break."" (The New York Times)"
"2LuHhL9P24iAgk2u8","CARBOY","NSA","program","[[TOP SECRET]],[[SI]],[[REL TO USA]],[[REL TO AUS]],[[REL TO CAN]],[[REL TO GBR]],[[REL TO NZL]],[[FVEY]]","[[PRISM]]","","[[JACKKNIFE]],[[TIMBERLINE]],[[CORALINE]],[[SCS]],[[MOONPENNY]],[[GARLICK]],[[LADYLOVE]],[[SOUNDER]],[[LEMONWOOD]],[[SHOALBAY]],[[SNICK]],[[STELLAR]],[[SCALPEL]],[[IRONSAND]]","collect","active","http://nsa.gov1.info/dni/ , nsa.gov1.info/dni/","[[SIGINT]] ([[FORNSAT]]) for locating cellphone in Bude (UK)"
"Jnaz93vQCjc4qe79j","CONVEYANCE","NSA","program","[[TOP SECRET]],[[SI]],[[ORCON]],[[NOFORN]]","[[SCISSORS]]","[[NUCLEON]]","[[PRISM]],[[NUCLEON]]","process","unknown","http://www.washingtonpost.com/wp-srv/special/politics/prism-collection-documents/,washingtonpost.com - NSA slides explain the PRISM data-collection program,https://pad.lqdn.fr/p/nsa_surveillance_tools2,en.wikipedia.org - Slide of PRISM collection dataflow","[[CONVEYANCE]] is a final layer of filtering to reduce the intake of information about Americans, it provides filtering for [[PRISM]] and filtering the voice content processed by S3132. The CONVEYANCE's informations are stocked in [[NUCLEON]]."
"teeo64nhvdKMoiK2N","CORALINE","NSA","program","[[TOP SECRET]],[[SI]],[[REL TO USA]],[[REL TO AUS]],[[REL TO CAN]],[[REL TO GBR]],[[REL TO NZL]],[[FVEY]]","[[PRISM]]","","[[JACKKNIFE]],[[TIMBERLINE]],[[CORALINE]],[[SCS]],[[MOONPENNY]],[[CARBOY]],[[GARLICK]],[[LADYLOVE]],[[SOUNDER]],[[LEMONWOOD]],[[SHOALBAY]],[[SNICK]],[[STELLAR]],[[SCALPEL]],[[IRONSAND]]","collect","active","http://nsa.gov1.info/dni/ , nsa.gov1.info/dni/","[[SIGINT]] for locating cellphone in Sabana Seca (PR)"
"o94xxkbZLTMoDHDY7","DEITYBOUNCE","NSA","attack vector","","[[TAO]]","","[[ARKSTREAM]],[[INTERDICTION]]","software","unknown","https://www.schneier.com/blog/archives/2014/01/nsa_exploit_of.html,schneier.com - DEITYBOUNCE: NSA Exploit of the Day,http://leaksource.files.wordpress.com/2013/12/nsa-ant-deitybounce.jpg?w=1208&h=1562,leaksource - ANT Product Data,https://www.schneier.com/blog/archives/2013/12/more_about_the.html,schneier.com - More about the NSA's Tailored Access Operations Unit,http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames,http://www.digitaltrends.com/web/nsa-malware-code-names/#/8|,TURBOPANDA, RAGEMASTER, and 13 other NSA codenames that prove spies laugh, too","DEITYBOUNCE provides software application persistence on Dell PowerEdge servers by exploiting the motherboard BIOS and utilizing System Management Mode (SMM) to gain periodic execution while the Operating System loads. This technique supports multi-processor systems with RAID hardware and Microsoft Windows 2000, 2003, and XP. It currently targets Dell PowerEdge 1850/2850/1950/2950 RAID servers, using BIOS versions A02, A05, A06, 1.1.0, 1.2.0, or 1.3.7. Through remote access or [[INTERDICTION]], [[ARKSTREAM]] is used to reflash the BIOS on a target machine to implant DEITYBOUNCE and its payload (the implant installer).Can be installed by non-technical user with USB thumb drive. Once implanted, DEITYBOUNCE's frequency of execution (dropping the payload) is configurable and will occur when the target machine powers on."
"nSs4zWDosXBSyehCk","DEWSWEEPER","NSA","vector attack","","","","","hardware","unknown","http://www.documentcloud.org/documents/807030-ambassade.html#document/p1,LeMonde.fr - Snowden's docs,http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","USB (Universal Serial Bus) hardware host tap that provides [[COVERT]] link over US link into a target network. Operates w/RF relay subsystem to provide wireless Bridge into target network."
"zk8MFFWmkQimRggQp","DIKTER","NSA","program","","","","","collect","unknown","http://www.intrepidreport.com/archives/8588,intrepidreport.com - Senate delivers fatal end-of-term blow to Constitution","SIGINT Exchange Designator for Norway"
"JMQzR9WzSKLEBdLZx","DISHFIRE","NSA","program","[[SECRET]],[[COMINT]],[[REL TO USA]],[[FVEY]]","","","[[PREFER]],[[SPYDER]]","database","active (according to NSA spokesperson quoted in both Channel 4 and The Guardian articles)","http://www.channel4.com/news/intercept-text-messages-spy-nsa-gchq-british-phone,Channel 4 - UK and US spied on text messages of Brits,http://www.theguardian.com/world/interactive/2014/jan/16/nsa-dishfire-text-messages-documents,NSA Dishfire presentation on text message collection,http://www.theguardian.com/world/2014/jan/16/nsa-collects-millions-text-messages-daily-untargeted-global-sweep,The Guardian - NSA collects millions of text messages daily in 'untargeted' global sweep,https://www.schneier.com/blog/archives/2014/01/nsa_collects_hu.html,schneier.com - NSA Collects Hundreds of Millions of Text Messages Daily","DISHFIRE is an SMS repository, storing over 194 million text messages a day, according to the NSA. The database includes names, geocoordinates, missed calls, SIM card changes, roaming info, travel info, and financial info. The Dishfire collection is indiscriminate, collecting ""pretty much everything it can,"" according to an NSA presentation. An NSA program called Prefer then extracts ""useful information"" through message recomination and metadata extraction from stored content. GCHQ was also given full access to DISHFIRE, including UK citizens' data which GCHQ is not legally allowed to collect on its own."
"CsMDuBT4fYbzd9uwM","DIVERSITY","NSA","program","","","","","collect","unknown","http://www.intrepidreport.com/archives/8588,intrepidreport.com - Senate delivers fatal end-of-term blow to Constitution","SIGINT Exchange Designators with Third or Fourth Parties."
"b7sAvJSc4LPFFESTo","DROPMIRE","NSA","program","","","","[[VAGRANT]],[[CTX4000]],[[PHOTOANGLO]]","collect","active","http://en.wikipedia.org/wiki/Dropmire , en.wikipedia.org - Dropmire,[http://www.guardian.co.uk/world/2013/jun/30/nsa-leaks-us-bugging-european-allies , The Guardian - New NSA leaks show how US is bugging its European allies,https://www.documentcloud.org/documents/807030-ambassade.html#document/p1 , lemonde.fr - docs,https://www.schneier.com/blog/archives/2013/10/code_names_for.html ,schneier.com - Code Names for NSA Exploit Tools,http://cryptome.org/2014/01/nsa-codenames.htm| ,cryptome.org - NSA codenames","Passive collection of emanations using antenna. (Using bugging encrypted fax machine (TheGuardian)) [[DROPMIRE]] aimed at surveillance of foreign embassies and diplomatic staff, including those of NATO allies. NSA leaks show how US is bugging its European allies. The report reveals that at least ""38 foreign embassies"" were under surveillance, some of which as far back as 2007."
"pidaALeu7wEeJT55w","DRTBOX","NSA","program","","","","[[CANDYGRAM]],[[CYCLONE]],[[TYPHON]],[[EBSR]],[[NEBULA]]","collect","unknown","http://www.lemonde.fr/technologies/article/2013/10/21/france-in-the-nsa-s-crosshair-phone-networks-under-surveillance_3499741_651865.html?xtmc=drtbox&amp;xtcr=1 , lemonde.fr - France in the NSA's crosshair : phone networks under surveillance,http://cryptome.org/2013/12/nsa-catalog-appelbaum.pdf ,cryptome.org - NSA's catalog,http://cryptome.org/2014/01/nsa-codenames.htm| ,cryptome.org - NSA codenames,http://electrospaces.blogspot.fr/2013/11/drtbox-and-drt-surveillance-systems.html , electrospaces.blogspot.fr - DRTBOX and DRT surveillance systems","program for intercepting mobile communication networks. France in the NSA's crosshair : phone networks under surveillance. Subprograms:[[US-985D]]  - France, [[US-987LA]] and [[US-987LB]] - Germany."
"8PZLugiY3D64yuTpL","DRUID","undefined","program","","","","","collect","unknown","http://www.intrepidreport.com/archives/8588,http://www.intrepidreport.com/archives/8588","non-English speaking %u201CThird Parties.%u201D Such intelligence was classified with the designator DRUID and was shared with third parties, countries with NATO or defense treaty relationships with the United States, with SIGINT Exchange Designators of [[DIKTER]] (Norway), [[SETTEE]] (South Korea), [[DYNAMO]] (Denmark), [[RICHTER]] (Germany), and [[ISHTAR]] (Japan). Other intelligence was shared between First and Second Parties and %u201CFourth Parties%u201D that were mainly neutral or special category partners."
"ZmDDTvzHbseLHge2D","DYNAMO","undefined","program","","","","","collect","unknown","http://www.intrepidreport.com/archives/8588 , intrepidreport.com - Senate delivers fatal end-of-term blow to Constitution","SIGINT Exchange Designators of Denmark"
"XMyNqCrPDGbryPhiF","EGOTISTICALGIRAFFE","NSA","attack vector","[[TOP SECRET]],[[COMINT]],[[REL TO USA]],[[REL TO AUS]],[[REL TO CAN]],[[REL TO GBR]],[[REL TO NZL]],[[FVEY]],[[TS]],[[SI]]","","","[[EGOTISTICALGOAT]],[[ERRONEOUSINGENUITY]]","network","unknown","http://www.theguardian.com/world/interactive/2013/oct/04/egotistical-giraffe-nsa-tor-document , TheGuardian.com - 'Peeling back the layers of Tor with EgotisticalGiraffe' %u2013 read the document,https://www.schneier.com/blog/archives/2013/10/how_the_nsa_att.html ,Schneier on Security : How the NSA Attacks Tor/Firefox Users With QUANTUM and FOXACID,http://cryptome.org/2014/01/nsa-codenames.htm| , cryptome.org - NSA codenames","EGOTISTICALGIRAFFE (EGGI) is a NSA program for exploiting the TOR network. / exploits a type confusion vulnerability in E4X, which is an XML extension for JavaScript. This vulnerability exists in Firefox 11.0 -- 16.0.2, as well as Firefox 10.0 ESR -- the Firefox version used until recently in the Tor browser bundle. The vulnerability was then fixed by Mozilla. NSA were confident that they would be able to find a replacement Firefox exploit that worked against version 17.0 ESR."
"PSgAPuKnbYvgWGcaD","ENDUE","NSA","program","[[COI]]","[[BULLRUN]]","","[[BULLRUN]]","process","unknown","http://cryptome.org/2013/09/nsa-bullrun-brief-propublica-13-0905.pdf|cryptome.org - nsa-bullrun-brief-propublica-13-0905.pdf,http://cryptome.org/2013/09/nsa-bullrun-brief-propublica-13-0905.pdf|cryptome.org - nsa-bullrun-brief-propublica-13-0905.pdf","A [[COI]] for sensitive decrypts of the [[BULLRUN]] program"
"K3rhmDuoBPqF8gGf2","EVENINGEASEL","NSA","program","","","","","collect","unknown","http://www.spiegel.de/international/world/nsa-hacked-email-account-of-mexican-president-a-928817.html , DerSpiegel - NSA Accessed Mexican President's Email","Program for surveillance of phone and text communications from Mexico's cell phone network."
"JrYXsuFRpoBrzro6a","EVILOLIVE","NSA","program","","","","","collect","unknown","http://www.theverge.com/2013/6/27/4470442/nsa-surveillance-programs-bulk-collection-of-internet-metadata , TheVerge - NSA expanded bulk collection of internet data under newly uncovered surveillance programs","Collects internet traffic and data."
"aFmMobPMD5xLYQecy","EWALK","NSA","program","","","","","collect","unknown","http://media.ccc.de/browse/congress/2013/30C3_-_5713_-_en_-_saal_2_-_201312301130_-_to_protect_and_infect_part_2_-_jacob.html, media.ccc.de - To Protect And Infect Part 2 The militarization of the Internet by Jacob Appelbaum.",""
"TCvknKzKefLWH7XB3","FACELIFT","NSA","program","","","","[[SSO]]","collect","unknown","http://www.theguardian.com/world/2013/aug/09/nsa-loophole-warrantless-searches-email-calls#zoomed-picture , theguardian.com - NSA loophole allows warrantless search for US citizens' emails and phone calls","Codeword related to NSA's [[SSO]] division"
"jQAGi4KX3Nckipabv","FALLOUT","NSA","program","[[TOP SECRET]],[[SI]],[[ORCON]],[[NOFORN]]","[[SCISSORS]]","[[MARINA]],[[MAINWAY]]","[[PRISM]]","database","unknown","https://pad.lqdn.fr/p/nsa_surveillance_tools2,Slide of PRISM collection dataflow, on en.wikipedia.org","spotted on [[PRISM]]'s slide"
"F7TL79aEexinvTu4a","FASCIA","NSA","program","[[TOP SECRET]],[[SI]],[[NOFORN]]","[[BOUNDLESSINFORMANT]]","[[DANCINGOASIS]],[[MARINA]]","[[CHALKFUN]],[[SCISSORS]],[[BOUNDLESSINFORMANT]]","database","unknown","http://www.washingtonpost.com/world/national-security/nsa-tracking-cellphone-locations-worldwide-snowden-documents-show/2013/12/04/5492873a-5cf2-11e3-bc56-c6ca94801fac_story.html,washingtonpost.com - NSA tracking cellphone locations worldwide, Snowden documents show,http://www.theguardian.com/world/interactive/2013/jun/08/boundless-informant-nsa-full-text , www.theguardian.com - Boundless Informant: NSA explainer %u2013 full document text,http://cryptome.org/2013/12/nsa-fascia.pdf,cryptome.org - FASCIA - Example of Current Volumes and limits","FASCIA is the NSA's enormous database containing trillions of device-location records that are collected from a variety of sources."
"8wPXPyS7kzw2x6sC2","FEEDTROUGH","NSA","attack vector","[[TOP SECRET]],[[COMINT]],[[REL TO USA]],[[FVEY]]","[[TAO]]","","[[BANANAGLEE]],[[ZESTYLEAK]]","software","unknown","https://www.schneier.com/blog/archives/2014/01/feedtrough_nsa.html,Bruce Schneier - FEEDTROUGH: NSA Exploit of the Day, http://leaksource.files.wordpress.com/2013/12/nsa-ant-feedthrough.jpg, leaksource.files.wordpress.com - Slide on FEEDTROUGH,http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","FEEDTROUGH is a persistence technique for two software implants, DNT's [[BANANAGLEE]] and CES's [[ZESTYLEAK]] used against Juniper Netscreen firewalls. FEEDTROUGH can be used to persist two implants, [[ZESTYLEAK]] and/or [[BANANAGLEE]] across reboots and software upgrades on known and covered OS's for the following Netscreen firewalls, ns5xt, ns25, ns50, ns200, ns500 and ISG 1000. There is no direct communication to or from FEEDTROUGH, but if present, the [[BANANAGLEE]] implant can receive and transmit covert channel comms, and for certain platforms, [[BANANAGLEE]] can also update FEEDTROUGH. FEEDTROUGH however can only persist OS's included in its databases. Therefore this is best employed with known OS's and if a new OS comes out, then the customer would need to add this OS to the FEEDTROUGH database for that particular firewall."
"dyyDNwrTdXDc7QuDC","FERRETCANNON","NSA","attack vector","","[[FOXACID]]","[[BEACHHEAD]]","[[QUANTUM]],[[FOXACID]]","network","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","A system that injects malware, associated with [[FOXACID]]."
"Sp6rYpCeED6LSNc65","FET","NSA","program","","","","","process","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","A Field-Effect Transistor (FET) is a type of transistor commonly used for weak-signal amplification (for example, for amplifying wireless signals).The device can amplify analog or digital signals. It can also switch DC or function as an oscillator."
"gznRBactDM3CRLw6k","FINKDIFFERENT","NSA","attack vector","","","","","software","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","(FIDI) A Firefox exploit, successful against 10 ESR, but failed against tbb-firefox"
"sJZ5QBQgdrST4ACpJ","FIREWALK","NSA","process","","","","[[HOWLERMONKEY]],[[DANDERSPRITZ]],[[TRINITY]],[[RADON]]","hardware","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames,http://media.ccc.de/browse/congress/2013/30C3_-_5713_-_en_-_saal_2_-_201312301130_-_to_protect_and_infect_part_2_-_jacob.html,media.ccc.de - To Protect And Infect Part 2 The militarization of the Internet by Jacob Appelbaum.","FIREWALK is a bidirectional network implant, capable of passively collecting Gigabit Ethernet traffic and injecting Ethernet packets onto the same target network.%u201D Integrates [[TRINITY]] and [[HOWLERMONKEY]]. Provides direct or indirect covert RF link to Remote Operations Center via a VPN. The version in the catalog requires soldering to a motherboard. Note: unit physically appears nearly identical to [[COTTONMOUTH-III]]. Perhaps a subclass of [[RADON]]."
"9jxD5ACFf4vMkZQRk","FLUXBABBIT","NSA","attack vector","","[[INTERDICTION]]","","","hardware","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","Hardware based bug for Dell PowerEdge 1950 and 2950 servers using Xeon 5100 and 5300 processors. Installation requires intercepting the server, while it is enroute to its destination, disassembling it and installing the hardware."
"urGhq9wFwkFrkZTTn","FLYINGPIG","GCHQ","attack vector","","","","","network","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","GCHQ SSL/TLS exploitation knowledgebase and tool used for MITM attacks against Petrobras."
"u5GSM2oBpdq88ZQ95","FOXSEARCH","NSA","program","","","","","database","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","perhaps a database of all targets to be exploited with [[FOXACID]]"
"MNB6HMaCZbGuRX9zZ","FREEFLOW","NSA","program","","","","[[DROPOUTJEEP]],[[FREEFLOW]],[[TURBULANCE]]","collect","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","%u201C[[DROPOUTJEEP]] and [[TOTEGHOSTLY 2.0]] is compliant with the [[FREEFLOW]] project, therefor it is supported in the [[TURBULANCE]] architecture."
"Snn7pBZ9vm7awWEwn","GARLICK","NSA","program","[[TOP SECRET]],[[SI]],[[REL TO USA]],[[REL TO AUS]],[[REL TO CAN]],[[REL TO GBR]],[[REL TO NZL]],[[FVEY]]","[[PRISM]]","","[[JACKKNIFE]],[[TIMBERLINE]],[[CORALINE]],[[SCS]],[[MOONPENNY]],[[CARBOY]],[[LADYLOVE]],[[SOUNDER]],[[LEMONWOOD]],[[SHOALBAY]],[[SNICK]],[[STELLAR]],[[SCALPEL]],[[IRONSAND]]","collect","active","http://nsa.gov1.info/dni/ , nsa.gov1.info/dni/","[[SIGINT]] for locating cellphone in Bude (UK)"
"gdPeFkde2qhydhvmz","GECKO-II","NSA","process","","","","[[IRONCHEF]]","hardware","unknown","http://cryptome.org/2013/12/nsa-catalog-appelbaum.pdf,cryptome.org - NSA's catalog","[[IRONCHEF]] example included A hardware implant (MRRF or GSM), IRONCHEF persistence backdoor, %u201CSoftware implant [[UNITEDRAKE]] Node%u201D"
"HpRY8zDziLGKkYy8a","GILGAMESH","NSA","program","","[[UAV]]","[[UAV]]","","collect","active","https://firstlook.org/theintercept/article/2014/02/10/the-nsas-secret-role/,theintercept.org - The NSA%u2019s Secret Role in the U.S. Assassination Program","The NSA geolocation system used by JSOC is known by the code name GILGAMESH. Under the program, a specially constructed device is attached  to the drone. As the drone circles, the device locates the SIM card or  handset that the military believes is used by the target. That, in turn, allows the military to track the cell phone to within 30  feet of its actual location, feeding the real-time data to teams of  drone operators who conduct missile strikes or facilitate night raids."
"7pynLzsCAZWTY7QiJ","GREATEXPECTATIONS","NSA","program","","","","[[QUICKANT]]","process","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","NSA version of [[QUICKANT]] ([[GCHQ]] tor analytics/knowledgebase)"
"AgAb5AN38CAmmfKs9","GTE","GCHQ","program","","[[TEMPORA]]","","[[MTI]]","collect","active","https://en.wikipedia.org/wiki/Global_Telecoms_Exploitation,Wikipedia - Global Telecoms Exploitation,http://www.theguardian.com/uk/2013/jun/21/gchq-cables-secret-world-communications-nsa,The Guardian - GCHQ taps fibre-optic cables for secret access to world's communications","Global Telecoms Exploitation is reportedly a secret British telephonic mass surveillance programme run by [[GCHQ]], it's a subprogram of [[TEMPORA]]."
"Ggc8vkKHmXRZgScHo","HALLUXWATER","NSA","attack vector","[[TS]],[[SI]],[[REL]],[[FOUO]]","","","","software","active","https://www.schneier.com/blog/archives/2014/01/halluxwater_nsa.html,Bruce Schneier's Blog: HALLUXWATER: NSA Exploit of the Day,http://leaksource.files.wordpress.com/2013/12/nsa-ant-halluxwater.jpg,Slide on HALLUXWATER,http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","The [[HALLUXWATER]] Persistence Back Door implant is installed on a target Huawei Eudemon firewall as a boot ROM upgrade. When the target reboots, the PBD installer software will find the needed patch points and install the back door in the inbound packet processing routine."
"oYRkQ2eyTEFGdDdMt","HC12","NSA","program","","","","[[JUNIORMINT]],[[TRINITY]]","collect","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","an earlier micro-computer design the NSA used in bugs."
"BvYvZjQQPcRKzsd2b","HEADWATER","NSA","attack vector","[[TOP SECRET]],[[COMINT]],[[REL TO USA]],[[FVEY]]","[[TAO]]","","[[TAO]],[[TURBOPANDA]],[[HAMMERMILL]]","software","unknown","https://www.schneier.com/blog/archives/2014/01/headwater_nsa_e.html,Bruce Schneier's Blog - HEADWATER: NSA Exploit of the Day,http://leaksource.files.wordpress.com/2013/12/nsa-ant-headwater.jpg,leaksource - TAO's Page Catalog with Graphics,http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","HEADWATER is a Persistent Backdoor (PDB) software implant for selected Huawei routers. The implant will enable covert functions to be remotely executed within the router via an Internet connection."
"wJBPrfpH2aFj3bGLy","HEMLOCK","NSA","attack vector","","[[GENIE]]","","","hardware","unknown","http://www.theguardian.com/world/2013/jun/30/nsa-leaks-us-bugging-european-allies,TheGuardian-New NSA leaks show how US is bugging its European allies","Name of an operation to bug the italian ambassy in Washington, introducing spywares in foreign embassies."
"4hEdRNiqEbX5fxH8x","HERCULES","CIA","programm","","","","","database","unknown","http://electrospaces.blogspot.com/p/nicknames-and-codewords.html,electrospaces.blogspot.com - US Nicknames and Codewords","CIA terrorism database"
"4QLqcqhJHymBh3iyp","HOLLOWPOINT","NSA","Program","","","","[[ENTOURAGE]],[[NEBULA]],[[GALAXY]]","Process","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","GSM/UTMS/CSMA2000/FRS signal platform. Operates In the 10MHz to 4GHz range. Includes receiver and antenna. Can both transmit and receive."
"yRbuMZ5zmJ3qgAdaD","OMNIGAT","NSA","program","","","","[[GINSU]]","collect","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames","Field network component"
"sip5HdE2etg7TqLec","QIM/JMSQ","NSA","program","","","","[[IRATEMONK]],[[WISTFULTOLL]]","collect","unknown","http://cryptome.org/2014/01/nsa-codenames.htm,cryptome.org - NSA codenames",""
